chr	start	end	value	genesymbol_deg
chr12	123925461	123934984	1.09020152656623	DNAH10OS
chr2	229357629	229714555	3.54850152933734	DNER
chr4	3463306	3501473	1.11352756130844	DOK7
chr21	38121451	38156511	4.0502496051207	DSCR8
chr6	7541617	7586714	1.1646088566629	DSP
chr22	37367960	37427479	1.62554625305017	ELFN2
chr11	107591091	107666779	2.23635230765441	ELMOD1
chr9	109171974	109321059	1.23786005390644	EPB41L4B
chr3	134795260	135260467	1.59807536952673	EPHB1
chr9	21929457	21931073	1.85366274737592	ERVFRD-3
chr4	52722618	52751586	1.35066073933413	ERVMER34-1
chr13	113122799	113149529	1.60734121498875	F10
chr1	169511951	169586588	2.77048286272545	F5
chr12	49866896	49904217	1.38568286447626	FAIM2
chrX	69504326	69532508	1.27200708842702	FAM155B
chr8	11421476	11475908	1.47383005509351	FAM167A
chr5	74777574	74866966	2.14860450166228	FAM169A
chr11	47586678	47589194	2.27898154761104	FAM180B
chrX	9024232	9295682	3.03516549428259	FAM9B
chr2	130012065	130040560	4.86842998550678	FAR2P1
chr5	151504092	151591331	1.03688670387549	FAT2
chr22	45502238	45601135	1.50003084595962	FBLN1
chr19	39863323	39934626	1.63500132198926	FCGBP
chr19	35351552	35353862	4.79111494602932	FFAR1
chr5	171419647	171457626	2.29662111975856	FGF18
chr1	152302165	152325239	4.91269205644153	FLG
chr7	128830406	128859274	1.8310051708645	FLNC
chr6	159169400	159272108	1.7584966663648	FNDC1
chr1	1598012	1600135	1.32731377714842	FNDC10
chr3	138947217	138953990	3.38243246296508	FOXL2NB
chr13	36740041	36740863	2.02766522894198	GAPDHP34
chr12	62755227	62756233	1.01207553638191	GAPDHP44
chr9	86944362	86947506	1.05791216775936	GAS1
chr8	21690398	21812357	1.42120401574063	GFRA2
chr1	34781214	34786369	1.27877705432124	GJB3
chr1	34759740	34762327	1.78064927008591	GJB4
chr1	34755047	34758512	2.1658579315091	GJB5
chr20	58818919	58850903	1.24521545318275	GNAS-AS1
chr4	175632934	176002664	1.75451215732337	GPM6A
chr1	6247353	6261098	1.30994421942933	GPR153
chrX	53048789	53080615	1.5740607861772	GPR173
chr3	151294086	151316820	2.76833943355972	GPR87
chr1	100538139	100542021	1.17055667735111	GPR88
chr12	12891559	12917937	1.69586549605484	GPRC5A
chr2	11482341	11642788	1.089715286203	GREB1
chr3	6770001	7741533	1.5327373883713	GRM7
chrX	2828822	2882820	2.52242740187606	GYG2
chr6	26107412	26108135	1.46362650330837	H1-6
chr15	73319859	73368958	2.10302839857483	HCN4
chr12	102197585	102402596	1.17237416739633	HELLPAR
chr1	222522258	222548104	2.81865272720148	HHIPL2
chr6	29790954	29797811	1.43593797274585	HLA-V
chr19	41829692	41830938	2.11230924760179	HNRNPA1P52
chr12	116856144	116881441	1.44047220996448	HRK
chr4	87799554	87812435	1.78824323577878	IBSP
chr11	2129112	2141238	1.8335586838652	IGF2
chr1	201190824	201228952	2.9453212905668	IGFN1
chr3	53846568	53865794	1.16249489679723	IL17RB
chr1	156840063	156859117	2.73753864866789	INSRR
chr15	74173710	74176872	1.51621861095982	ISLR
chr20	13221274	13300651	1.99556859633235	ISM1
chr20	13237801	13239674	2.92348036574038	ISM1-AS1
chr10	32958437	33082102	1.49269325123741	ITGB1-DT
chr3	52812962	52830688	1.23241921414672	ITIH4
chr5	147559994	147662009	2.45867405088949	JAKMIP2-AS1
chr8	74234700	74321540	1.47933862304724	JPH1
chr1	110519837	110631474	1.46116559415295	KCNA2
chr7	150944961	150978321	2.18672235873366	KCNH2
chr12	49539030	49558337	1.55496013047182	KCNH3
chr2	95297327	95386077	1.40800214268179	KCNIP3
chr1	40783787	40840452	1.15346307338976	KCNQ4
chr20	45091214	45101127	2.51685384632125	KCNS1
chr6	61679961	62286225	1.23855339465093	KHDRBS2
chr2	240713761	240824293	5	KIF1A
chr1	245206444	245234501	1.16839616521049	KIF26B-AS1
chr4	39406930	39451533	1.89393131949294	KLB
chr2	130036958	130038422	5	KLF2P1
chr19	51022216	51028039	5	KLK11
chr7	139452690	139483673	3.06296554928603	KLRG2
chr3	134599923	134651636	1.14574698479525	KY
chr20	9514358	9530524	4.05181819753914	LAMP5
chr15	66547179	66565979	1.17858701845625	LCTL
chr2	48686774	48755730	2.83475702463005	LHCGR
chr21	27722379	27751233	1.68413710958218	LINC00113
chr22	20206397	20208524	1.59874949256921	LINC00896
chr5	6582136	6600288	1.59308797337703	LINC01018
chr2	131637025	131649615	3.06546911254085	LINC01087
chr8	76404058	76407138	2.56143971265245	LINC01109
chr6	84421028	84556152	2.38157802226567	LINC01611
chr4	170226535	170283723	2.74377031950226	LINC01612
chr20	12865202	12952519	2.18614246373939	LINC01722
chr8	135859369	137092183	4.17517369766045	LINC02055
chr14	28829881	28968400	4.78993601036373	LINC02327
chr15	37980676	38062340	1.05136336457239	LINC02345
chr12	127631248	127636488	2.53304929053557	LINC02411
chr6	10474500	10478502	5	LINC02522
chr8	48590401	48594621	1.54971052493766	LINC02599
chr14	41606876	41904549	2.87335516201231	LRFN5
chr11	46856717	46918642	1.49989999433929	LRP4
chr1	53242364	53328469	1.14948376463447	LRP8
chr9	26993136	27005672	1.06717594203567	LRRC19
chr21	44455510	44462196	1.40601626209214	LRRC3
chr1	204617170	204685738	1.56242666595557	LRRN2
chr20	6040546	6054060	1.25952640579362	LRRN4
chr3	54918231	54967088	1.92644817732091	LRTM1
chr1	241995490	241999098	1.24579213338357	MAP1LC3C
chr2	209424047	209734118	1.38648940060436	MAP2
chr3	183815922	183825594	1.24302520960321	MAP6D1
chr6	37630679	37699306	1.07793405420378	MDGA1
chr14	46839629	47675605	2.26042364937686	MDGA2
chr11	46380756	46383837	1.41991117773522	MDK
chr19	47403124	47419527	1.00610182191796	MEIS3
chr3	196988621	197029817	2.13818321312232	MELTF
chr7	130486171	130506465	1.15908087750582	MEST
chr1	39955112	39969968	1.45830313615768	MFSD2A
chr2	223704621	223705338	2.20986687722215	MLXP1
chr12	131828393	131851783	1.28575994225167	MMP17
chr7	156994051	157010663	2.80998369387516	MNX1
chr13	85968999	85969533	5	MOB1AP1
chr18	36187497	36272157	1.61701698648904	MOCOS
chr17	62627670	62693597	1.31347696662219	MRC2
chr5	134924648	134926459	1.34881689743272	MTND5P11
chr19	8848844	8981342	3.20921858726095	MUC16
chr12	40393395	40570832	1.47966732334007	MUC19
chrX	3308565	3346652	1.92741826550211	MXRA5
chrY	11957208	11987386	2.0616718697329	MXRA5Y
chr17	10300865	10373130	2.77677360721553	MYH13
chr12	57028517	57051198	1.42212150741846	MYO1A
chr2	170178145	170655171	2.12618129651061	MYO3B
chr2	170332085	170408564	3.0281589687365	MYO3B-AS1
chr10	68106117	68212017	2.53968154795335	MYPN
chr13	100708325	101059286	3.35316095386906	NALCN-AS1
chr10	99788564	99789410	1.16617342903967	NANOGP6
chr4	2059327	2069089	1.91200882326507	NAT8L
chr19	39196964	39201884	1.83615735375512	NCCRP1
chr9	130172404	130237303	1.08659624660172	NCS1
chr3	27110085	27369460	1.12535674636647	NEK10
chr2	241809065	241817413	2.89863715044968	NEU4
chr5	157460213	157474722	1.40357841610601	NIPAL4
chr15	68930525	69062762	1.27129162189795	NOX5
chrX	30304206	30309390	3.04276400564161	NR0B1
chr4	4348140	4419058	1.10022979912332	NSG1
chr1	156815640	156881850	1.71777708286951	NTRK1
chr21	33025935	33029196	2.36757068972933	OLIG2
chr11	57861948	57873588	1.32515696376729	OR5BA1P
chr3	8750381	8769628	1.51340913451763	OXTR
chr12	6828407	6839847	1.15474826725579	P3H3
chr9	17589161	17591318	2.2080065419323	PABPC1P11
chr9	135561756	135566955	2.58152218801406	PAEP
chr21	45643694	45942454	2.08694838264246	PCBP3
chr1	55039447	55064852	3.33131303402407	PCSK9
chr16	283164	287215	1.81540400629723	PDIA2
chr1	13583465	13617957	1.45209650462927	PDPN
chr20	59577509	59847711	1.51447864868587	PHACTR3
chr2	168231921	168232220	1.14790125519618	PHF5GP
chr8	74824534	74855029	1.67269905723728	PI15
chr1	19975431	19980416	4.020226401692	PLA2G2A
chr3	111674676	111846447	1.10479532465059	PLCXD2
chr12	19129733	19376400	1.31929761070033	PLEKHA5
chr5	92151	189972	1.96571834261032	PLEKHG4B
chr10	120457227	120592065	1.41953872325124	PLPP4
chr6	105157900	105180014	2.9643810931522	POPDC3
chr2	130073535	130129222	5	POTEF
chr2	131591752	131628147	5	POTEKP
chr15	55611544	55743152	1.64726878433481	PRTG
chr14	52314305	52328598	1.03759534609362	PTGER2
chr15	55538884	55588947	1.81092098993051	PYGO1
chr1	51907956	51990700	2.19360631030973	RAB3B
chr3	133824235	133895882	1.242219711842	RAB6B
chr1	46246461	46278480	1.01950770923508	RAD54L
chr3	158696892	158732489	1.30588899372728	RARRES1
chr5	138439057	138446969	2.55413652183429	REEP2
chr7	103471381	103989658	2.1921734406197	RELN
chr8	53851795	53959303	1.68678180257944	RGS20
chr2	229236340	229236609	1.18135831267236	RN7SKP283
chr12	19176288	19176589	1.21636949785038	RN7SL459P
chr12	19303480	19303775	1.65626783388883	RN7SL67P
chr1	145465617	145465780	1.21243059064671	RNVU1-31
chr4	61211652	61212203	1.50722962563609	RPL17P19
chr8	48384590	48385049	1.50091317644449	RPL29P19
chr6	73373108	73373263	1.36383270487259	RPL39P3
chr8	94352923	94353653	1.2147193622834	RPS4XP10
chr1	152153595	152159228	2.73041208402794	RPTN
chr22	20241415	20283246	1.05676530669805	RTN4R
chrX	135889205	135913062	2.88060897954834	SAGE1
chr19	35523367	35528351	3.31207910872986	SBSN
chr8	27869883	27992673	2.8952290064851	SCARA5
chr17	73334384	73644445	1.73934954361825	SDK2
chr22	41969475	41998221	1.28026460534993	SEPTIN3
chr13	36674020	36697839	2.32993133515037	SERTM1
chr7	37905932	38025695	1.87964797994304	SFRP4
chr10	97766751	97771999	2.37055626628542	SFRP5
chr13	23180979	23325162	1.25134117903631	SGCG
chr9	17579066	17797124	2.69746978550192	SH3GL2
chr22	44243665	44312951	1.91332962467444	SHISAL1
chr2	5932543	6003510	5	SILC1
chr3	125082636	125212864	1.35043738834551	SLC12A8
chr7	123113531	123199972	2.49759474754711	SLC13A1
chr17	68267026	68291267	1.26851601198232	SLC16A6
chr6	160348378	160452577	1.06345309521344	SLC22A3
chr20	19212642	19722926	1.22967888412399	SLC24A3
chr3	50205246	50221486	2.66734594550542	SLC38A3
chr2	219627394	219641980	2.109665839918	SLC4A3
chr8	17497088	17570573	1.04553251625873	SLC7A2
chr13	85792790	85806683	4.72578560497874	SLITRK6
chr6	83552880	83709691	3.26989240277029	SNAP91
chr2	232857270	232878708	1.3112379112477	SNORC
chr17	3440019	3513852	2.28087621019594	SPATA22
chr2	219434843	219493629	1.28080265019094	SPEG
chr2	119223831	119265652	1.34709811371507	STEAP3
chr2	108239968	108265351	1.3561269062661	SULT1C3
chr9	110365248	110579880	1.43346843884411	SVEP1
chr1	118883046	118989556	1.41561141003493	TBX15
chr6	84687351	84764598	1.72031459891198	TBX18
chr6	84687712	84709578	1.53242332649591	TBX18-AS1
chr13	36741878	36742465	2.03634157117521	TCEAL4P1
chr11	59852800	59866489	3.61124938195914	TCN1
chr5	167284799	168264157	1.98430154079376	TENM2
chr11	78063861	78068351	3.66345025406615	THRSP
chr10	96364608	96513926	2.24627382133462	TLL2
chr3	196319342	196338503	1.73118475143782	TM4SF19
chr11	60924460	60937159	1.12400154061995	TMEM132A
chr11	66291894	66296664	3.08241920836918	TMEM151A
chr3	45224466	45226287	1.27265352773766	TMEM158
chr14	77116568	77259495	1.94651061452814	TMEM63C
chr15	51056598	51105276	1.41514174586484	TNFAIP8L3
chr4	121131408	121227466	1.95705034755226	TNIP3
chr1	175315194	175743616	1.84482035226916	TNR
chr6	32008614	32012472	2.26857238614786	TNXA
chr22	16601887	16698742	1.06194500408492	TPTEP1
chr20	362835	397559	1.0218245116907	TRIB3
chr1	26051301	26068436	1.8915885994832	TRIM63
chr1	26993692	27000886	1.40358476694634	TRNP1
chr5	136212745	136365545	1.35261878838684	TRPC7
chr2	233917373	234019522	2.84339985079023	TRPM8
chr17	3510502	3557812	1.5303991788033	TRPV3
chrX	73792205	73829231	2.2521713046277	TSIX
chr11	76782251	76798153	1.16205543781379	TSKU
chr2	233691607	233773300	1.0681552447597	UGT1A6
chr2	233681901	233773300	1.3557734383515	UGT1A7
chr4	69199951	69214748	1.67081364404402	UGT2B11
chr7	76510525	76516522	2.32165517248838	UPK3B
chr1	160400564	160428670	1.54389441664167	VANGL2
chr7	159028175	159144867	1.42149138318895	VIPR2
chr7	54542325	54571080	3.77194263229868	VSTM2A
chr20	37903111	37945350	2.57868179369094	VSTM2L
chr7	49773638	49921950	4.0286873893983	VWC2
chr2	108276812	108277942	1.37243467915651	WASF1P1
chr7	29806486	29917066	1.10636829338708	WIPF3
chr11	76186325	76210736	1.87907618999938	WNT11
chr7	117275451	117323152	1.96025100534035	WNT2
chr1	227918656	227947932	1.07285353124744	WNT9A
chr22	23390606	23402726	1.54459764644975	ZDHHC8P1
chr8	76681239	76867281	2.83055630256507	ZFHX4
chr8	76491200	76683308	2.49975216796519	ZFHX4-AS1
chr19	48270081	48287608	2.25847694138088	ZNF114
chr3	31794470	31796175	1.01032983746093	ZNF587P1
chr7	64469185	64470653	1.35170649149433	ZNF680P1
